RegionsCode,Regions,MethodCode,Method used to travel to workplace,AgeCode,AgeRange,Observation
E12000005,West Midlands,5,On foot,2,Aged 25 to 34 years,48895
E12000005,West Midlands,5,On foot,3,Aged 35 to 49 years,69008
E12000005,West Midlands,5,On foot,4,Aged 50 to 64 years,52279
E12000005,West Midlands,5,On foot,5,Aged 65 years and over,5926
E12000005,West Midlands,6,All other methods of travel,1,Aged 16 to 24 years,51259
E12000005,West Midlands,6,All other methods of travel,2,Aged 25 to 34 years,41503
E12000005,West Midlands,6,All other methods of travel,3,Aged 35 to 49 years,49378
E12000005,West Midlands,6,All other methods of travel,4,Aged 50 to 64 years,38893
E12000005,West Midlands,6,All other methods of travel,5,Aged 65 years and over,4656
E12000006,East,1,Work mainly at or from home,1,Aged 16 to 24 years,14835
E12000006,East,1,Work mainly at or from home,2,Aged 25 to 34 years,38993
E12000006,East,1,Work mainly at or from home,3,Aged 35 to 49 years,116386
E12000006,East,1,Work mainly at or from home,4,Aged 50 to 64 years,109426
E12000006,East,1,Work mainly at or from home,5,Aged 65 years and over,25249
E12000006,East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",1,Aged 16 to 24 years,45177
E12000006,East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",2,Aged 25 to 34 years,47117
E12000006,East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",3,Aged 35 to 49 years,51705
E12000006,East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",4,Aged 50 to 64 years,35330
E12000006,East,2,"Train, underground, metro, light rail, tram, bus, minibus or coach",5,Aged 65 years and over,4490
E12000006,East,3,Driving a car or van,1,Aged 16 to 24 years,160006
E12000006,East,3,Driving a car or van,2,Aged 25 to 34 years,332632
E12000006,East,3,Driving a car or van,3,Aged 35 to 49 years,630824
E12000006,East,3,Driving a car or van,4,Aged 50 to 64 years,455602
E12000006,East,3,Driving a car or van,5,Aged 65 years and over,48080
E12000006,East,4,Bicycle,1,Aged 16 to 24 years,13788
E12000006,East,4,Bicycle,2,Aged 25 to 34 years,23508
E12000006,East,4,Bicycle,3,Aged 35 to 49 years,34971
E12000006,East,4,Bicycle,4,Aged 50 to 64 years,22675
E12000006,East,4,Bicycle,5,Aged 65 years and over,2212
E12000006,East,5,On foot,1,Aged 16 to 24 years,60118
E12000006,East,5,On foot,2,Aged 25 to 34 years,58740
E12000006,East,5,On foot,3,Aged 35 to 49 years,76514
E12000006,East,5,On foot,4,Aged 50 to 64 years,56035
E12000006,East,5,On foot,5,Aged 65 years and over,6744
E12000006,East,6,All other methods of travel,1,Aged 16 to 24 years,55484
