Regions Code,Regions,Method Code,Method used to travel to workplace,Age Code,Age Range,Observation
E12000007,London,5,Driving a car or van,5,Aged 65 years and over,41001
E12000007,London,6,Bicycle,1,Aged 16 to 24 years,10804
E12000007,London,6,Bicycle,2,Aged 25 to 34 years,45211
E12000007,London,6,Bicycle,3,Aged 35 to 49 years,46855
E12000007,London,6,Bicycle,4,Aged 50 to 64 years,24229
E12000007,London,6,Bicycle,5,Aged 65 years and over,1734
E12000007,London,7,On foot,1,Aged 16 to 24 years,35184
E12000007,London,7,On foot,2,Aged 25 to 34 years,74368
E12000007,London,7,On foot,3,Aged 35 to 49 years,91849
E12000007,London,7,On foot,4,Aged 50 to 64 years,68708
E12000007,London,7,On foot,5,Aged 65 years and over,9344
E12000007,London,8,Other method of travel to work,1,Aged 16 to 24 years,4766
E12000007,London,8,Other method of travel to work,2,Aged 25 to 34 years,12428
E12000007,London,8,Other method of travel to work,3,Aged 35 to 49 years,18063
E12000007,London,8,Other method of travel to work,4,Aged 50 to 64 years,13937
E12000007,London,8,Other method of travel to work,5,Aged 65 years and over,2846
E12000008,South East,1,Work mainly at or from home,1,Aged 16 to 24 years,87981
E12000008,South East,1,Work mainly at or from home,2,Aged 25 to 34 years,313869
E12000008,South East,1,Work mainly at or from home,3,Aged 35 to 49 years,617512
E12000008,South East,1,Work mainly at or from home,4,Aged 50 to 64 years,494734
E12000008,South East,1,Work mainly at or from home,5,Aged 65 years and over,88983
E12000008,South East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",1,Aged 16 to 24 years,39749
E12000008,South East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",2,Aged 25 to 34 years,57525
E12000008,South East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",3,Aged 35 to 49 years,68611
E12000008,South East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",4,Aged 50 to 64 years,47555
E12000008,South East,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",5,Aged 65 years and over,7131
E12000008,South East,3,Taxi,1,Aged 16 to 24 years,3892
E12000008,South East,3,Taxi,2,Aged 25 to 34 years,4975
E12000008,South East,3,Taxi,3,Aged 35 to 49 years,5787
E12000008,South East,3,Taxi,4,Aged 50 to 64 years,5033
E12000008,South East,3,Taxi,5,Aged 65 years and over,1167
E12000008,South East,4,"Motorcycle, scooter or moped",1,Aged 16 to 24 years,4043
E12000008,South East,4,"Motorcycle, scooter or moped",2,Aged 25 to 34 years,5082
E12000008,South East,4,"Motorcycle, scooter or moped",3,Aged 35 to 49 years,6196
E12000008,South East,4,"Motorcycle, scooter or moped",4,Aged 50 to 64 years,6317
E12000008,South East,4,"Motorcycle, scooter or moped",5,Aged 65 years and over,588
E12000008,South East,5,Driving a car or van,1,Aged 16 to 24 years,223883
E12000008,South East,5,Driving a car or van,2,Aged 25 to 34 years,453053
E12000008,South East,5,Driving a car or van,3,Aged 35 to 49 years,697295
E12000008,South East,5,Driving a car or van,4,Aged 50 to 64 years,663279
E12000008,South East,5,Driving a car or van,5,Aged 65 years and over,95590
E12000008,South East,6,Bicycle,1,Aged 16 to 24 years,12590
E12000008,South East,6,Bicycle,2,Aged 25 to 34 years,19601
E12000008,South East,6,Bicycle,3,Aged 35 to 49 years,28042
E12000008,South East,6,Bicycle,4,Aged 50 to 64 years,23728
E12000008,South East,6,Bicycle,5,Aged 65 years and over,2505
E12000008,South East,7,On foot,1,Aged 16 to 24 years,67119
E12000008,South East,7,On foot,2,Aged 25 to 34 years,81408
E12000008,South East,7,On foot,3,Aged 35 to 49 years,96234
E12000008,South East,7,On foot,4,Aged 50 to 64 years,83627
E12000008,South East,7,On foot,5,Aged 65 years and over,12349
E12000008,South East,8,Other method of travel to work,1,Aged 16 to 24 years,6735
E12000008,South East,8,Other method of travel to work,2,Aged 25 to 34 years,9391
E12000008,South East,8,Other method of travel to work,3,Aged 35 to 49 years,13010
E12000008,South East,8,Other method of travel to work,4,Aged 50 to 64 years,12622
E12000008,South East,8,Other method of travel to work,5,Aged 65 years and over,2984
E12000009,South West,1,Work mainly at or from home,1,Aged 16 to 24 years,48375
E12000009,South West,1,Work mainly at or from home,2,Aged 25 to 34 years,162347
E12000009,South West,1,Work mainly at or from home,3,Aged 35 to 49 years,287374
E12000009,South West,1,Work mainly at or from home,4,Aged 50 to 64 years,263691
E12000009,South West,1,Work mainly at or from home,5,Aged 65 years and over,56744
E12000009,South West,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",1,Aged 16 to 24 years,22168
E12000009,South West,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",2,Aged 25 to 34 years,23508
E12000009,South West,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",3,Aged 35 to 49 years,22141
E12000009,South West,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",4,Aged 50 to 64 years,19094
E12000009,South West,2,"Underground, metro, light rail, tram, train, bus, minibus or coach",5,Aged 65 years and over,3605
E12000009,South West,3,Taxi,1,Aged 16 to 24 years,1239
E12000009,South West,3,Taxi,2,Aged 25 to 34 years,1723
E12000009,South West,3,Taxi,3,Aged 35 to 49 years,2302
E12000009,South West,3,Taxi,4,Aged 50 to 64 years,2376
E12000009,South West,3,Taxi,5,Aged 65 years and over,617
E12000009,South West,4,"Motorcycle, scooter or moped",1,Aged 16 to 24 years,3521
E12000009,South West,4,"Motorcycle, scooter or moped",2,Aged 25 to 34 years,3713
E12000009,South West,4,"Motorcycle, scooter or moped",3,Aged 35 to 49 years,4226
E12000009,South West,4,"Motorcycle, scooter or moped",4,Aged 50 to 64 years,5202
E12000009,South West,4,"Motorcycle, scooter or moped",5,Aged 65 years and over,532
E12000009,South West,5,Driving a car or van,1,Aged 16 to 24 years,153088
E12000009,South West,5,Driving a car or van,2,Aged 25 to 34 years,299859
E12000009,South West,5,Driving a car or van,3,Aged 35 to 49 years,448244
E12000009,South West,5,Driving a car or van,4,Aged 50 to 64 years,453940
E12000009,South West,5,Driving a car or van,5,Aged 65 years and over,65403
E12000009,South West,6,Bicycle,1,Aged 16 to 24 years,8293
E12000009,South West,6,Bicycle,2,Aged 25 to 34 years,14818
E12000009,South West,6,Bicycle,3,Aged 35 to 49 years,20988
E12000009,South West,6,Bicycle,4,Aged 50 to 64 years,17519
E12000009,South West,6,Bicycle,5,Aged 65 years and over,1810
E12000009,South West,7,On foot,1,Aged 16 to 24 years,47727
E12000009,South West,7,On foot,2,Aged 25 to 34 years,58360
E12000009,South West,7,On foot,3,Aged 35 to 49 years,67446
E12000009,South West,7,On foot,4,Aged 50 to 64 years,64263
E12000009,South West,7,On foot,5,Aged 65 years and over,10207
E12000009,South West,8,Other method of travel to work,1,Aged 16 to 24 years,4005
E12000009,South West,8,Other method of travel to work,2,Aged 25 to 34 years,5492
E12000009,South West,8,Other method of travel to work,3,Aged 35 to 49 years,6847
E12000009,South West,8,Other method of travel to work,4,Aged 50 to 64 years,7579
E12000009,South West,8,Other method of travel to work,5,Aged 65 years and over,1948
